cab_type,distance,fare
POOL,1.32,49
UberGo,1.31,111.71
UberGo,5.82,144.57
UberGo,7.96,127.07
POOL,9.91,68.41
POOL,8.7,108.51
UberGo,1.73,91.59
POOL,1.62,49
POOL,5.89,99.41
POOL,4.93,79.53
UberGo,1.48,51.22
POOL,4.65,99.41
POOL,3.61,39.51
UberAuto,0.97,25
UberGo,1.42,113.59
UberGo,1.53,66.54
UberGo,1.53,55.05
POOL,1.26,79.53
UberGo,1.57,121.41
UberGo,3.52,133.5
POOL,1.96,49.53
UberGo,1.51,57.26
POOL,6.48,69.53
POOL,9.42,99.41
POOL,6.8,79.53
POOL,7.93,139.51
UberGo,1.41,91.51
POOL,2.64,39.51
POOL,1.49,79.53
UberGo,1.55,100.36
UberGo,6.11,373.91
UberGo,1.44,149.49
POOL,9.42,199.41
POOL,9.24,89.53
POOL,1.43,39.51
UberGo,1.52,153.8
UberGo,2.97,124.62
UberGo,7.31,165.44
UberGo,18.47,342.77
UberGo,3.33,98.44
UberGo,3,92.91
UberGo,3.11,101.9
UberGo,3.32,102.41
UberGo,14.22,473.89
UberGo,9.46,198.27
POOL,10.14,119.53
POOL,10.78,119.53
POOL,1.43,39.51
POOL,3.69,39.51
UberGo,13.06,468.67
UberGo,3.42,92.91
UberGo,13.45,688.05
POOL,2.08,29
POOL,1.56,39.51
POOL,3.56,29
UberGo,1.44,80.3
POOL,2.89,29
POOL,3.65,49
UberGo,1.46,75.15
POOL,1.47,59.53
POOL,1.52,39.51
POOL,1.82,49
POOL,1.47,59.53
POOL,1.66,49
POOL,1.79,29
POOL,1.69,29
UberAuto,1.44,31.87
UberGo,3.11,114.34
POOL,1.77,49.53
POOL,1.58,59.53
UberGo,4.12,113.48
POOL,3.5,99.41
POOL,4.63,59.53
UberAuto,0.57,25
POOL,2.85,39.51
POOL,1.52,39.51
POOL,3.79,89.53
UberGo,1.39,63.19
POOL,2.43,89.53
UberGo,8.44,198.47
UberAuto,4.6,84.78
UberGo,1.53,86.71
POOL,1.85,39.51
POOL,2.04,49.53
POOL,1.54,39.51
POOL,3.76,29
POOL,2.43,29
POOL,1.47,29
POOL,2.4,49
POOL,3.8,39.51
POOL,9.55,139.51
POOL,10.53,139.51
POOL,4.39,29
POOL,2.27,29
POOL,10.05,99.41
POOL,8.03,99.41
POOL,1.55,29
UberGo,9.59,140
UberGo,1.5,72.73
POOL,2.16,29
POOL,1.44,29
POOL,2.67,49
POOL,1.51,29
POOL,1.51,29
POOL,3.52,29
POOL,1.7,29
POOL,2.07,29
UberGo,0.82,52.5
POOL,1.54,49
POOL,1.52,29
UberGo,0.15,67.03
POOL,1.43,29
POOL,2.11,49.53
POOL,2.28,49.53
POOL,1.35,59.53
POOL,1.65,49.53
UberGo,1.82,93.15
UberGo,1.84,121.22
POOL,3.19,49.53
UberGo,9.97,228.14
UberGo,9.38,173.29
POOL,1.76,49.53
POOL,3.65,49.53
POOL,2.95,29
POOL,2.85,49
POOL,1.48,34.18
UberGo,2.14,85
POOL,3.05,29
POOL,2.46,29.36
POOL,2.41,29
POOL,2.34,29
POOL,1.22,29
POOL,2.39,29
UberGo,1.79,84.96
POOL,1.52,29
POOL,1.39,29
POOL,9.86,99.41
POOL,2.2,49
POOL,0.64,39.51
POOL,1.64,29
UberGo,1.15,66.79
POOL,16.37,199.41
UberGo,13.51,321.31
UberGo,8.23,165.71
UberGo,7.99,184.5
POOL,1.15,35
POOL,3.85,45
UberGo,2.88,111.97
UberXL,7.15,404.81
POOL,3.24,59
UberGo,6.08,158.7
UberGo,1.43,117.38
POOL,2.6,35
POOL,1.82,99.41
UberGo,2.25,93.44
POOL,2.24,35
UberGo,7.32,145.33
UberGo,7.04,129.62
UberGo,1.63,43.56
UberGo,9.34,185.33
UberGo,9.58,216.8
UberGo,1.47,116.66
UberGo,2.64,90.15
